Sample;Ch4
477;-0.13252554833889008
478;-0.13530227541923523
479;-0.13605956733226776
480;-0.13605956733226776
481;-0.13631199300289154
482;-0.14388488233089447
483;-0.13504984974861145
484;-0.14085572957992554
485;-0.1378265768289566
486;-0.1390887200832367
487;-0.13858386874198914
488;-0.140098437666893
489;-0.14211788773536682
490;-0.1459043323993683
491;-0.14438974857330322
492;-0.1456518918275833
493;-0.15221506357192993
494;-0.1501956284046173
495;-0.15675880014896393
496;-0.16180738806724548
497;-0.1605452448129654
498;-0.16205982863903046
499;-0.16180738806724548
500;-0.16433168947696686
501;-0.1673608422279358
502;-0.1719045788049698
503;-0.1739240139722824
504;-0.17922504246234894
505;-0.18351633846759796
506;-0.18780764937400818
507;-0.19184651970863342
508;-0.19285623729228973
509;-0.19689510762691498
510;-0.20017670094966888
511;-0.20396314561367035
512;-0.2021961361169815
513;-0.21002145111560822
514;-0.21077874302864075
515;-0.21759434044361115
516;-0.2168370485305786
517;-0.22011864185333252
518;-0.22213807702064514
519;-0.22996339201927185
520;-0.23021581768989563
521;-0.23097310960292816
522;-0.23930329084396362
523;-0.24031300842761993
524;-0.24384702742099762
525;-0.24359458684921265
526;-0.2511674761772156
527;-0.24611888825893402
528;-0.25141990184783936
529;-0.2562160789966583
530;-0.2574782073497772
531;-0.25697335600852966
532;-0.26404139399528503
533;-0.26252681016921997
534;-0.2678278386592865
535;-0.2655559778213501
536;-0.27161428332328796
537;-0.27413856983184814
538;-0.27287644147872925
539;-0.2756531536579132
540;-0.2680802643299103
541;-0.2870124876499176
542;-0.2766628861427307
543;-0.2839833199977875
544;-0.27842986583709717
545;-0.2860027551651001
546;-0.28852707147598267
547;-0.28625521063804626
548;-0.2915562093257904
549;-0.29079893231391907
550;-0.29231351613998413
551;-0.29685723781585693
552;-0.2986242473125458
553;-0.2928183674812317
554;-0.298371821641922
555;-0.30215826630592346
556;-0.3003912568092346
557;-0.30215826630592346
558;-0.30922630429267883
559;-0.3072068691253662
560;-0.3210904896259308
561;-0.30543985962867737
562;-0.3097311556339264
563;-0.30998358130455017
564;-0.3087214231491089
565;-0.3064495623111725
566;-0.311750590801239
567;-0.3107408583164215
568;-0.31351760029792786
569;-0.3152846097946167
570;-0.3084689974784851
571;-0.3130127489566803
572;-0.3152846097946167
573;-0.3120030164718628
574;-0.316546767950058
575;-0.314527302980423
576;-0.31351760029792786
577;-0.30998358130455017
578;-0.316546767950058
579;-0.32285749912261963
580;-0.3107408583164215
581;-0.3142748773097992
582;-0.3152846097946167
583;-0.3059447109699249
584;-0.31250786781311035
585;-0.3173040449619293
586;-0.3127603232860565
587;-0.30241069197654724
588;-0.3064495623111725
589;-0.3094787299633026
590;-0.2960999608039856
591;-0.29887667298316956
592;-0.298371821641922
593;-0.2950902283191681
594;-0.29988640546798706
595;-0.29332321882247925
596;-0.2918086647987366
597;-0.2928183674812317
598;-0.2902940809726715
599;-0.2817114591598511
600;-0.2817114591598511
601;-0.2781774401664734
602;-0.27388614416122437
603;-0.27641043066978455
604;-0.26732298731803894
605;-0.2675754129886627
606;-0.26075980067253113
607;-0.25470149517059326
608;-0.2539442181587219
609;-0.2486431896686554
610;-0.2440994530916214
611;-0.24359458684921265
612;-0.2418275773525238
613;-0.23576927185058594
614;-0.22617694735527039
615;-0.22466236352920532
616;-0.22289536893367767
617;-0.21658462285995483
618;-0.20875930786132812
619;-0.21002145111560822
620;-0.19967183470726013
621;-0.19361352920532227
622;-0.19235137104988098
623;-0.18856492638587952
624;-0.1830114871263504
625;-0.1809920370578766
626;-0.17644831538200378
627;-0.1761958748102188
628;-0.17013756930828094
629;-0.1673608422279358
630;-0.16105009615421295
631;-0.16004037857055664
632;-0.15650637447834015
633;-0.15196263790130615
634;-0.1469140499830246
635;-0.1501956284046173
636;-0.15448693931102753
637;-0.14489459991455078
638;-0.1456518918275833
639;-0.14312760531902313
640;-0.13732171058654785
641;-0.13934116065502167
642;-0.13353528082370758
643;-0.1368168592453003
644;-0.13833144307136536
645;-0.13858386874198914
646;-0.13858386874198914
647;-0.1365644335746765
648;-0.13530227541923523
649;-0.1368168592453003
650;-0.1355547159910202
651;-0.14060330390930176
652;-0.140098437666893
653;-0.14211788773536682
654;-0.13757415115833282
655;-0.14287516474723816
656;-0.14868104457855225
657;-0.14842861890792847
658;-0.14489459991455078
659;-0.14893348515033722
660;-0.14893348515033722
661;-0.15297235548496246
662;-0.16130253672599792
663;-0.1560015082359314
664;-0.15625393390655518
665;-0.16205982863903046
666;-0.16483654081821442
667;-0.1696327030658722
668;-0.17240943014621735
669;-0.1774580329656601
670;-0.17897260189056396
671;-0.1807396113872528
672;-0.1807396113872528
673;-0.1888173669576645
674;-0.18780764937400818
675;-0.1910892277956009
676;-0.19007951021194458
677;-0.19361352920532227
678;-0.19689510762691498
679;-0.20320585370063782
680;-0.210273876786232
681;-0.2158273309469223
682;-0.21330302953720093
683;-0.21279817819595337
684;-0.21204088628292084
685;-0.2191089242696762
686;-0.22062349319458008
687;-0.2216332107782364
688;-0.22743909060955048
689;-0.22920610010623932
690;-0.22996339201927185
691;-0.23122553527355194
692;-0.23652656376361847
693;-0.23450712859630585
694;-0.23425468802452087
695;-0.2428373098373413
696;-0.23905086517333984
697;-0.24914804100990295
698;-0.2451091706752777
699;-0.24889561533927917
700;-0.2574782073497772
701;-0.2554587721824646
702;-0.26050737500190735
703;-0.2567209303379059
704;-0.26075980067253113
705;-0.2658084034919739
706;-0.26606082916259766
707;-0.27186670899391174
708;-0.26707056164741516
709;-0.2726239860057831
710;-0.2743909955024719
711;-0.2791871726512909
712;-0.280196875333786
713;-0.2844882011413574
714;-0.2860027551651001
715;-0.2817114591598511
716;-0.28852707147598267
717;-0.2918086647987366
718;-0.28852707147598267
719;-0.2973620891571045
720;-0.2986242473125458
721;-0.3014009892940521
722;-0.2996339797973633
723;-0.30695444345474243
724;-0.3120030164718628
725;-0.316546767950058
726;-0.31377002596855164
727;-0.31149816513061523
728;-0.31932348012924194
729;-0.32134291529655457
730;-0.32285749912261963
731;-0.32386720180511475
732;-0.3301779627799988
733;-0.3301779627799988
734;-0.3263915181159973
735;-0.33396440744400024
736;-0.33396440744400024
737;-0.3311876654624939
738;-0.33295467495918274
739;-0.33825570344924927
740;-0.3286633789539337
741;-0.3311876654624939
742;-0.33977028727531433
743;-0.33598384261131287
744;-0.3321973979473114
745;-0.336993545293808
746;-0.3402751386165619
747;-0.334216833114624
748;-0.33497411012649536
749;-0.3357314169406891
750;-0.329925537109375
751;-0.33043038845062256
752;-0.32714879512786865
753;-0.33169254660606384
754;-0.3233623504638672
755;-0.3276536464691162
756;-0.32588663697242737
757;-0.3243720829486847
758;-0.3185662031173706
759;-0.32159534096717834
760;-0.30821657180786133
761;-0.3109933137893677
762;-0.3107408583164215
763;-0.30670198798179626
764;-0.3006436824798584
765;-0.2986242473125458
766;-0.2913037836551666
767;-0.2918086647987366
768;-0.2870124876499176
769;-0.2857503294944763
770;-0.2791871726512909
771;-0.2733812928199768
772;-0.2678278386592865
773;-0.26075980067253113
